step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,word_loss
29700,3712,9.9912984e-5,0.523463,1.6879,34.83,0.0227,2.726278
29800,3725,9.991239e-5,0.527528,1.6947,35.79,0.0227,2.730604
29900,3737,9.991182e-5,0.509631,1.6647,35.14,0.0236,2.638001
30000,3750,9.991121e-5,0.505615,1.6580,35.51,0.0237,2.621384
30100,3762,9.991064e-5,0.511257,1.6674,41.19,0.0264,2.641666
30200,3775,9.9910016e-5,0.526458,1.6929,35.51,0.0240,2.742926
30300,3787,9.990945e-5,0.515421,1.6743,35.40,0.0228,2.694452
30400,3800,9.990882e-5,0.505634,1.6580,34.92,0.0226,2.634482
30500,3812,9.9908255e-5,0.511836,1.6684,35.56,0.0233,2.664409
30600,3825,9.9907615e-5,0.549235,1.7319,37.24,0.0229,2.888529
30700,3837,9.990703e-5,0.528332,1.6961,35.79,0.0218,2.768764
30800,3850,9.990641e-5,0.497301,1.6443,35.00,0.0237,2.577405
30900,3862,9.9905825e-5,0.518149,1.6789,36.57,0.0200,2.699884
31000,3875,9.9905184e-5,0.519346,1.6809,34.90,0.0222,2.704205
31100,3887,9.99046e-5,0.511795,1.6683,44.64,0.0291,2.685223
31200,3900,9.990396e-5,0.519421,1.6811,35.40,0.0225,2.710918
31300,3912,9.9903365e-5,0.508693,1.6631,35.84,0.0240,2.643741
31400,3925,9.9902725e-5,0.504977,1.6569,35.44,0.0241,2.615808
31500,3937,9.990213e-5,0.511401,1.6676,35.92,0.0231,2.682277
31600,3950,9.990149e-5,0.502685,1.6532,35.43,0.0225,2.617665
31700,3962,9.990088e-5,0.497474,1.6446,34.87,0.0227,2.584421
31800,3975,9.990024e-5,0.527262,1.6943,35.66,0.0225,2.764128
31900,3987,9.9899626e-5,0.499105,1.6472,35.06,0.0243,2.613264
32000,4000,9.989897e-5,0.529818,1.6986,36.31,0.0221,2.747890
32100,4012,9.989836e-5,0.523879,1.6886,43.19,0.0276,2.729303
32200,4025,9.9897705e-5,0.510967,1.6669,35.44,0.0227,2.668828
32300,4037,9.989709e-5,0.500088,1.6489,36.25,0.0224,2.609020
32400,4050,9.989644e-5,0.501118,1.6506,36.18,0.0215,2.604136
32500,4062,9.989581e-5,0.509245,1.6640,35.01,0.0225,2.660635
32600,4075,9.9895144e-5,0.506133,1.6589,36.05,0.0217,2.639394
32700,4087,9.989453e-5,0.506013,1.6587,35.77,0.0217,2.638952
32800,4100,9.989386e-5,0.526159,1.6924,36.12,0.0225,2.743156
32900,4112,9.989324e-5,0.498077,1.6456,34.48,0.0234,2.587952
33000,4125,9.989257e-5,0.505657,1.6581,35.30,0.0233,2.630515
33100,4137,9.989194e-5,0.509300,1.6641,42.01,0.0284,2.659795
33200,4150,9.989126e-5,0.507698,1.6615,35.10,0.0221,2.639531
33300,4162,9.989063e-5,0.485894,1.6256,34.71,0.0226,2.532738
33400,4175,9.988995e-5,0.516753,1.6766,35.04,0.0229,2.719439
33500,4187,9.988931e-5,0.501735,1.6516,36.07,0.0218,2.610030
33600,4200,9.9888624e-5,0.493764,1.6385,34.95,0.0226,2.574144
33700,4212,9.9887984e-5,0.516464,1.6761,35.86,0.0222,2.709189
33800,4225,9.98873e-5,0.501242,1.6508,36.71,0.0221,2.603450
33900,4237,9.9886645e-5,0.485639,1.6252,34.86,0.0233,2.532769
34000,4250,9.988595e-5,0.527433,1.6946,35.76,0.0221,2.766017
34100,4262,9.988531e-5,0.498307,1.6459,41.51,0.0257,2.605855
34200,4275,9.988461e-5,0.489891,1.6321,35.87,0.0209,2.561115
34300,4287,9.988397e-5,0.517193,1.6773,35.46,0.0219,2.713296
34400,4300,9.9883255e-5,0.500172,1.6490,34.89,0.0232,2.592537
34500,4312,9.98826e-5,0.491540,1.6348,35.10,0.0225,2.557328
34600,4325,9.98819e-5,0.490251,1.6327,35.83,0.0231,2.557447
34700,4337,9.988125e-5,0.491600,1.6349,35.01,0.0235,2.547118
34800,4350,9.988053e-5,0.495349,1.6411,35.50,0.0235,2.581064
34900,4362,9.9879864e-5,0.498864,1.6468,35.40,0.0234,2.599492
35000,4375,9.987915e-5,0.502234,1.6524,35.72,0.0210,2.612720
35100,4387,9.987848e-5,0.506793,1.6600,41.62,0.0271,2.645886
35200,4400,9.987777e-5,0.496377,1.6428,35.10,0.0227,2.600208
35300,4412,9.98771e-5,0.504460,1.6561,35.20,0.0221,2.631773
35400,4425,9.987637e-5,0.517444,1.6777,34.79,0.0228,2.707389
